id,space_id
1091,3039
1092,3039
1093,3043
1094,3045
1095,3048
1096,3051
1097,3053
1098,3056
1099,3061
1100,3063
1101,3065
1102,3366
1103,3368
1104,3367
1105,3370
1106,3371
1107,3371
1109,3373
1108,3373
1110,3374
1111,3376
1112,3376
1113,3377
1114,3377
1115,3378
1116,3380
1117,3380
1118,3380
1119,3380
1120,3380
1121,3381
1122,3381
1123,3383
1124,3384
1125,3385
1126,3388
1127,3390
1128,3392
1181,3502
1182,3504
1129,3393
1130,3396
1131,3396
1133,3398
1132,3398
1134,3400
1135,3400
1136,3400
1137,3400
1138,3400
1139,3403
1140,3403
1141,3404
1142,3406
1143,3407
1144,3409
1145,3411
1146,3412
1147,3413
1148,3414
1149,3418
1152,3428
1153,3430
1154,3430
1155,3431
1156,3431
1157,3432
1158,3432
1159,3432
1160,3432
1161,3432
1162,3435
1163,3437
1164,3439
1165,3440
1166,3440
1167,3440
1168,3440
1169,3440
1170,3442
1171,3444
1172,3446
1173,3449
1174,3455
1175,3458
1176,3494
1177,3496
1183,3517
1184,3521
1185,3526
1186,3549
1187,3552
1188,3550
1189,3550
1190,3556
1191,3562
1192,3568
1193,3570
1194,3573
1195,3576
1196,3575
1197,3576
1198,3579
1199,3579
1200,3580
1201,3582
1202,3583
1203,3584
1204,3586
1205,3587
1206,3588
1207,3589
1208,3592
1209,3594
1210,3596
1211,3825
1212,3827
1213,3826
1214,3829
1215,3830
1216,3830
1218,3831
1217,3831
1219,3832
1220,3833
1221,3833
1222,3835
1223,3835
1224,3836
1225,3837
1226,3837
1227,3837
1228,3837
1229,3837
1230,3838
1231,3838
1232,3840
1233,3841
1234,3842
1235,3845
1236,3846
1237,3847
1284,3985
1285,3985
1238,3849
1239,3851
1240,3851
1242,3854
1241,3854
1243,3855
1244,3855
1245,3855
1246,3855
1247,3855
1248,3857
1249,3857
1250,3858
1251,3859
1252,3860
1253,3862
1254,3864
1255,3865
1256,3866
1257,3868
1258,3874
1327,4307
1326,4307
1261,3891
1262,3892
1263,3899
1264,3901
1265,3903
1266,3903
1267,3907
1268,3907
1269,3912
1270,3913
1271,3915
1272,3917
1273,3919
1274,3922
1275,3924
1276,3925
1277,3926
1278,3977
1279,3978
1280,3979
1281,3981
1282,3984
1283,3984
1286,3986
1287,3986
1288,3986
1289,3986
1290,3986
1291,3989
1292,3991
1293,3992
1294,3993
1331,4311
1332,4311
1339,4316
1298,3998
1299,3999
1300,4000
1301,4001
1302,4001
1303,4001
1304,4001
1305,4001
1306,4005
1340,4316
1307,4007
1308,4011
1309,4013
1310,4018
1311,4019
1312,4064
1313,4064
1314,4066
1315,4069
1316,4074
1317,4075
1318,4077
1319,4079
1328,4308
1333,4312
1341,4317
1343,4320
1344,4323
1345,4325
1346,4327
1400,4440
1401,4443
1347,4328
1348,4330
1349,4330
1351,4333
1350,4333
1352,4334
1353,4334
1354,4334
1355,4334
1356,4334
1357,4337
1358,4337
1359,4339
1360,4340
1361,4341
1362,4344
1363,4345
1364,4347
1365,4349
1366,4351
1367,4357
1370,4365
1371,4366
1372,4373
1373,4375
1374,4378
1375,4378
1376,4383
1377,4383
1378,4389
1379,4391
1380,4395
1381,4397
1382,4401
1383,4403
1384,4407
1385,4409
1386,4411
1387,4424
1388,4425
1389,4426
1390,4430
1391,4432
1392,4432
1393,4434
1394,4434
1395,4435
1396,4435
1397,4435
1398,4435
1399,4435
1402,4446
1403,4447
1404,4447
1405,4447
1406,4447
1407,4447
1408,4448
1409,4449
1410,4451
1411,4452
1412,4454
1413,4456
1414,4458
1415,4460
1419,4463
1420,4464
1421,4508
1422,4508
1423,4509
1424,4512
1425,4519
1426,4521
1427,4526
1428,4529
1429,4743
1430,4746
1431,4745
1432,4748
1433,4750
1434,4750
1436,4751
1435,4751
1437,4752
1438,4754
1439,4754
1440,4755
1441,4755
1442,4757
1443,4758
1444,4758
1445,4758
1446,4758
1447,4758
1448,4760
1449,4760
1450,4761
1451,4762
1452,4764
1453,4766
1454,4767
1455,4769
1488,4983
1489,4983
1456,4770
1457,4773
1458,4773
1460,4775
1459,4775
1461,4777
1462,4777
1463,4777
1464,4777
1465,4777
1466,4780
1467,4780
1468,4781
1469,4783
1470,4784
1471,4786
1472,4787
1473,4789
1474,4790
1475,4791
1476,4794
1479,4955
1480,4957
1481,4959
1482,4965
1483,4966
1484,4974
1485,4976
1486,4979
1487,4979
1490,4987
1491,4988
1492,4989
1493,4991
1494,4994
1495,4993
1496,4995
1497,4999
1498,5000
1499,5000
1500,5001
1501,5002
1502,5003
1503,5003
1504,5005
1505,5005
1506,5005
1507,5005
1508,5005
1509,5007
1510,5008
1511,5010
1512,5011
1513,5011
1514,5011
1515,5011
1516,5011
1517,5012
1518,5013
1519,5015
1520,5016
1521,5018
1522,5019
1523,5275
1524,5276
1525,5277
1526,5278
1527,5280
1528,5279
1529,5282
1530,5283
1531,5283
1533,5284
1532,5284
1534,5285
1535,5286
1536,5286
1537,5287
1538,5287
1539,5288
1540,5290
1541,5290
1542,5290
1543,5290
1544,5290
1545,5292
1546,5292
1547,5295
1548,5297
1549,5300
1550,5303
1551,5307
1552,5309
1583,5346
1553,5311
1554,5316
1555,5316
1557,5320
1556,5320
1558,5324
1559,5325
1560,5324
1561,5324
1562,5324
1563,5324
1564,5329
1565,5329
1566,5331
1567,5331
1568,5332
1569,5332
1570,5334
1571,5335
1572,5335
1573,5335
1575,5335
1576,5335
1574,5336
1578,5339
1577,5338
1579,5340
1580,5342
1581,5344
1582,5345
1584,5347
1585,5348
1586,5347
1587,5347
1588,5349
1589,5347
1590,5347
1591,5351
1592,5353
1593,5354
1595,5357
1597,5360
1598,5362
1599,5363
1600,5365
1601,5366
1602,5372
1603,5373
1604,5375
1605,5375
1606,5377
1607,5377
1608,5379
1609,5380
1610,5381
1611,5382
1612,5383
1613,5384
1614,5386
1615,5387
1616,5388
